年份,正統年號,年號二,年號三,年號四
153,永興(漢桓帝)1,,,
154,永興(漢桓帝)2,,,
155,永壽(漢桓帝)1,,,
156,永壽(漢桓帝)2,,,
157,永壽(漢桓帝)3,,,
158,延熹(漢桓帝)1,,,
159,延熹(漢桓帝)2,,,
160,延熹(漢桓帝)3,,,
161,延熹(漢桓帝)4,,,
162,延熹(漢桓帝)5,,,
163,延熹(漢桓帝)6,,,
164,延熹(漢桓帝)7,,,
165,延熹(漢桓帝)8,,,
166,延熹(漢桓帝)9,,,
167,永康(漢桓帝)1,,,
168,建寧(漢靈帝)1,,,
169,建寧(漢靈帝)2,,,
170,建寧(漢靈帝)3,,,
171,建寧(漢靈帝)4,,,
172,熹平(漢靈帝)1,,,
173,熹平(漢靈帝)2,,,
174,熹平(漢靈帝)3,,,
175,熹平(漢靈帝)4,,,
176,熹平(漢靈帝)5,,,
177,熹平(漢靈帝)6,,,
178,光和(漢靈帝)1,,,
179,光和(漢靈帝)2,,,
180,光和(漢靈帝)3,,,
181,光和(漢靈帝)4,,,
182,光和(漢靈帝)5,,,
183,光和(漢靈帝)6,,,
184,中平(漢靈帝)1,,,
185,中平(漢靈帝)2,,,
186,中平(漢靈帝)3,,,
187,中平(漢靈帝)4,,,
188,中平(漢靈帝)5,,,
189,中平(漢獻帝)6,光熹(劉辯)1,昭寧(劉辯)1,永漢(漢獻帝)1
190,初平(漢獻帝)1,,,
191,初平(漢獻帝)2,,,
192,初平(漢獻帝)3,,,
193,初平(漢獻帝)4,,,
194,興平(漢獻帝)1,,,
195,興平(漢獻帝)2,,,
196,建安(漢獻帝)1,,,
197,建安(漢獻帝)2,,,
198,建安(漢獻帝)3,,,
199,建安(漢獻帝)4,,,
200,建安(漢獻帝)5,,,
201,建安(漢獻帝)6,,,
202,建安(漢獻帝)7,,,
203,建安(漢獻帝)8,,,
204,建安(漢獻帝)9,,,
205,建安(漢獻帝)10,,,
206,建安(漢獻帝)11,,,
207,建安(漢獻帝)12,,,
208,建安(漢獻帝)13,,,
209,建安(漢獻帝)14,,,
210,建安(漢獻帝)15,,,
211,建安(漢獻帝)16,,,
212,建安(漢獻帝)17,,,
213,建安(漢獻帝)18,,,
214,建安(漢獻帝)19,,,
215,建安(漢獻帝)20,,,
216,建安(漢獻帝)21,,,
217,建安(漢獻帝)22,,,
218,建安(漢獻帝)23,,,
219,建安(漢獻帝)24,,,
220,黃初(曹丕)1,延康(漢獻帝)1,,
221,黃初(曹丕)2,章武(劉備)1,,
222,黃初(曹丕)3,章武(劉備)2,黃武(孫權)1,
223,黃初(曹丕)4,建興(劉禪)1,黃武(孫權)2,
224,黃初(曹丕)5,建興(劉禪)2,黃武(孫權)3,
225,黃初(曹丕)6,建興(劉禪)3,黃武(孫權)4,
226,黃初(曹丕)7,建興(劉禪)4,黃武(孫權)5,
227,太和(曹叡)1,建興(劉禪)5,黃武(孫權)6,
